intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
Viraaj,ds004148,n/a,,TRUE,,,No,60,18-28,93.3 GB,5585,3,0,healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,61,other,,,,,2,,,,,continuous,Cognitive Tasks,Multisensory,Cognitive states,Learning,"eyes closed, eyes open, memory, mathematic, music",https://www.nature.com/articles/s41597-022-01607-9,1.2,Chongqing,China,N,N,2022-06-13 8:35:00,Yulin Wang,,doi:10.18112/openneuro.ds004148.v1.0.1,,CC0,TRUE,The National Natural Science Foundation of China (grant number 31971028) and the National Key Research and Development Program of China (2021YFC2501500),,
Viraaj,ds004151,n/a,,TRUE,,,No,57,9-10,0.025 TB,408,1,0,"healthy, obese",.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,128,other,,,,,,,,,4,continuous,"Visual, Audio",Multisensory,Cognitive inhibition,Learning,Stop-signal task,,1,Arkansas,United States,N,N,2022-06-14 18:40:59,Graciela Catalina Alatorre Cruz,,doi:10.18112/openneuro.ds004151.v1.0.0,doi: 10.1016/j.ijpsycho.2021.04.003.,CC0,FALSE,This research was supported by USDA/Agricultural Research Service Project 6026-51000-012-06S,The study protocol was approved by the University of Arkansas for Medical Sciences Institutional Review Board with written informed consent obtained from parents and assent from preadolescents,
Viraaj,ds004152,n/a,,TRUE,,,No,21,21-41,0.005 TB,194,1,0,healthy,".eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,31,10-20,,,,,,,,,,continuous,"Visual, Audio",Multisensory,Learning task (drums),Learning,drumtrainer,,1.2.1,Oxford,United Kingdom,N,N,2022-06-14 15:45:13,Cameron Hassall,,doi:10.18112/openneuro.ds004152.v1.1.2,,CC0,TRUE,,,
Viraaj,ds004166,n/a,,FALSE,,,No,71,18-27,0.083 TB,431,3,1,healthy,".fdt, .set",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,64,10-20,,,,,,,,,,continuous,Visual,Visual,Working memory,Memory,"backward span change detection task, forward span change detection task, no intereference",https://pubmed.ncbi.nlm.nih.gov/35894226/,1.7.0,Beijing,China,Y,Y,2022-06-17 10:33:00,Jun Li,,doi:10.18112/openneuro.ds004166.v1.0.0,,CC0,TRUE,This work was supported by grants from the National Natural Science Foundation of China (31771242). The authors declared that they have no conflict of interest.,,
Viraaj,ds004186,This dataset is too large for NEMAR data quality metrics.,,FALSE,,,No,2951,5-21,0.231 TB,177065,1,5,children with developmental concerns,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,129,10-20,,,,,,,,,,continuous,Visual,Visual,Developmental learning,Learning,mixed,,v1.2.1,New York,United States,Y,N,2022-05-15 17:04:27,Arnaud Delorme,,doi:10.18112/openneuro.ds004186.v2.0.0,"Alexander LM, Escalera J, Ai L, Andreotti C, Febre K, Mangone A, Vega-Potler N, Langer N, Alexander A, Kovacs M, Litke S, O'Hagan B, Andersen J, Bronstein B, Bui A, Bushey M, Butler H, Castagna V, Camacho N, Chan E, Citera D, Clucas J, Cohen S, Dufek S, Eaves M, Fradera B, Gardner J, Grant-Villegas N, Green G, Gregory C, Hart E, Harris S, Horton M, Kahn D, Kabotyanski K, Karmel B, Kelly SP, Kleinman K, Koo B, Kramer E, Lennon E, Lord C, Mantello G, Margolis A, Merikangas KR, Milham J, Minniti G, Neuhaus R, Levine A, Osman Y, Parra LC, Pugh KR, Racanello A, Restrepo A, Saltzman T, Septimus B, Tobe R, Waltz R, Williams A, Yeo A, Castellanos FX, Klein A, Paus T, Leventhal BL, Craddock RC, Koplewicz HS, Milham MP. An open resource for transdiagnostic research in pediatric mental health and learning disorders. Sci Data. 2017 Dec 19;4:170181. doi: 10.1038/sdata.2017.181. PMID: 29257126; PMCID: PMC5735921",CC0,TRUE,,"The study was approved by the Chesapeake Institutional Review Board (https://www.chesapeakeirb.com/). Prior to conducting the research, written informed consent is obtained from participants ages 18 or older. For participants younger than 18, written consent is obtained from their legal guardians and written assent obtained from the participant.",
Viraaj,ds004194,n/a,,FALSE,,,No,14,18-47,14.3 GB,1566,7,48,intractable epilepsy patients,".eeg, .vhdr, .vmrk","iEEG, MRI",n/a,,,X,X,,,,,,,,,,,,,,,,,other,,1,56,5,1,,8,2,1,continuous,Visual,Visual,Visual perception,Perception,"prf, spatialpattern, temporalpattern, soc",https://www.jneurosci.org/content/42/40/7562,1.9.2,New York,United States,Y,Y,2022-07-06 15:43:04,Iris Groen,,doi:10.18112/openneuro.ds004194.v2.0.0,"Groen IIA, Piantoni G, Montenegro S, Flinker A, Devore S, Devinsky O, Doyle W, Dugan P, Friedman D, Ramsey N, Petridou N, Winawer JA. Temporal dynamics of neural responses in human visual cortex. The Journal of Neuroscience 42(40):7562-7580 https://doi.org/10.1523/JNEUROSCI.1812-21.2022 ===NEMAR-SEP=== Yuasa K, Groen IIA, Piantoni G, Montenegro S, Flinker A, Devore S, Devinsky O, Doyle W, Dugan P, Friedman D, Ramsey N, Petridou N, Winawer JA. Precise spatial tuning of visually driven alpha oscillations in human visual cortex. eLife12:RP90387 https://doi.org/10.7554/eLife.90387.1 ===NEMAR-SEP=== Brands AM, Devore S, Devinsky O, Doyle W, Flinker A, Friedman D, Dugan P, Winawer JA, Groen IIA (2024) Temporal dynamics of short-term neural adaptation in human visual cortex. https://doi.org/10.1101/2023.09.13.557378",CC0,TRUE,"This work was funded by BRAIN Initiative, the National Institute of Mental Health of the National Institutes of Health under Award Number R01MH111417","The study was approved by the NYU Grossman School of Medicine Institutional Review Board and the ethical committee of the University Medical Center Utrecht, in accordance with the Declaration of Helsinki (2013)",Yes
Viraaj,ds004196,n/a,,TRUE,,,No,4,33-51,0.01 TB,109,3,0,"right-handed, healthy",.bdf,"MRI, EEG",n/a,X,,,X,,,,,,,,,,,,,,,,64,10-20,,,,,4,,,,,continuous,Visual,Visual,Inner speech recognition,Other,InnerSpeech,,1.4,Luleå,Sweden,Y,Y,2023-04-26 11:21:50,Foteini Simistira Liwicki,,doi:10.18112/openneuro.ds004196.v2.0.2,https://github.com/LTU-Machine-Learning/Inner\_Speech\_EEG\_FMRI ===NEMAR-SEP=== https://www.biorxiv.org/content/10.1101/2022.05.24.492109v3,CC0,FALSE,This research was funded by the Grants for excellent research projects proposals of SRT.ai 2022.,"Etikprövning myndigheden, ID:2021-06710-01",
Viraaj,ds004200,n/a,,TRUE,,,No,20,20-77,0.008 TB,166,1,0,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,37,10-20,,,,,,,,,,continuous,"Visual, Audio",Multisensory,Attention (rhythm prediction),Attention,temporalscaling,,1.1.1,Oxford,United Kingdom,N,N,2022-07-11 11:47:42,Cameron Hassall,,doi:10.18112/openneuro.ds004200.v1.0.1,,CC0,TRUE,,"This study was approved by the Medical Sciences
Interdivisional Research Ethics Committee at the University of Oxford and participants
provided informed consent.",
Viraaj,ds004212,n/a,,FALSE,,,No,4,,237.7 GB,15295,13,420,healthy,".acq, .bak, .cfg, .cls, .de, .eeg, .hc, .hist, .infods, .meg4, .mrk, .newds, .nii, .res4, .segments, .sh, .ds","MEG, MRI",n/a,,X,,X,,,,,,,,,,,,,,,,,other,272,,,,,28,,,10,continuous,Visual,Visual,Visual perception,Perception,main,,1.21,Maryland,United States,Y,Y,2023-01-05 14:14:13,Oliver Contier,,doi:10.18112/openneuro.ds004212.v2.0.0,,CC0,FALSE,,NIH Institutional Review Board as part of the study protocol 93-M-0170 (NCT00001360),Yes
Viraaj,ds000246,n/a,,FALSE,,,No,1,25,2.3 GB,54,1,2,healthy,".acq, .cfg, .cls, .de, .dsc, .eeg, .hc, .hist, .infods, .jpg, .meg4, .mrk, .newds, .pos, .res4, .ds","MEG, MRI",n/a,,X,,X,,,,,,,,,,,,,,,,2,10-20,274,1,,,2,26,,,,continuous,Audio,Auditory,Generic MEG analysis,Neuroimaging,"AEF, noise",https://onlinelibrary.wiley.com/doi/10.1155/2011/879716,1.4.1,California,United States,Y,N,2018-03-30 10:34:05,Julia Guiomar Niso Galán,,doi:10.18112/openneuro.ds000246.v1.0.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3090754 ===NEMAR-SEP=== https://doi.org/10.3389/fnins.2019.00076 ===NEMAR-SEP=== http://neuroimage.usc.edu/brainstorm/ ===NEMAR-SEP=== https://openfmri.org/dataset/ds000246/,CC0,TRUE,NIH (2R01EB009048-05),,
Viraaj,ds005065,n/a,,,,,No,21,18-36,425.8 GB,3332,1,15,healthy,".acq, .cfg, .cls, .hc, .hist, .infods, .meg4, .newds, .res4, .ds",MEG,n/a,,X,,,,,,,,,,,,,,,,,,,,272,,,,,29,,2,,continuous,Visual,Visual,Decision,Decision-making,RiskyDecision,,v1.5.0,London,UK,Y,Y,2024-04-09 14:11:08,Evan Russek,,doi:10.18112/openneuro.ds005065.v1.0.0,https://osf.io/preprints/psyarxiv/kb6ew,CC0,FALSE,,UCL ethics board (ID: 9929/002),Yes
Viraaj,ds004080,n/a,,FALSE,,,No,74,4-51,0.289 TB,930,2,112,epilepsy surgery patients,".eeg, .vhdr, .vmrk",iEEG,n/a,,,X,,,,,,,,,,,,,,,,,,other,,1,104,1,,,,2,,continuous,Electrical,Stimulation,Response latency,Decision-making,task-SPESclin,,Brain Imaging Data Structure Specification v1.6.0,Minnesota,United States,Y,Y,2023-02-23 19:33:50,Epilab UMCU,,doi:10.18112/openneuro.ds004080.v1.2.4,see HowToAcknowledge,CC0,FALSE,NIMH R01MH122258 ===NEMAR-SEP=== Alexandre Suerman Stipendium 2015 ===NEMAR-SEP=== EpilepsieNL #17-07,"This study was approved by the Medical Ethical Committee from the UMC Utrecht, The Netherlands",Yes
Viraaj,ds004229,Please use the checkmaxfilter option before processing the dataset. The reason this dataset does not have statistics is because it cannot be processed automatically (the checkmaxfilter option is not used for automated processing). See https://github.com/fieldtrip/fieldtrip/issues/2373 and https://github.com/fieldtrip/fieldtrip/issues/2372. ,,FALSE,,,No,1,15 months,0.002 TB,18,1,0,infant at risk of dyslexia,.fif,MEG,n/a,,X,,,,,,,,,,,,,,,,,,0,other,306,1,,0,2,,,11,12,continuous,Audio,Auditory,Auditory Perception,Perception,"amnoise, noise, deviantdetection, oneback",https://www.sciencedirect.com/science/article/pii/S221315822100022X?via%3Dihub,1.7.0,Washington,United States,N,N,2022-08-02 18:33:45,Eric Larson,,doi:10.18112/openneuro.ds004229.v1.0.3,"Mittag, M., Larson, E., Clarke, M., Taulu, S., & Kuhl, P. K. (2021). Auditory deficits in infants at risk for dyslexia during a linguistic sensitive period predict future language. NeuroImage: Clinical, 30, 102578. https://doi.org/10.1016/j.nicl.2021.102578 ===NEMAR-SEP=== Mittag, M., Larson, E., Taulu, S., Clarke, M., & Kuhl, P. K. (2022). Reduced Theta Sampling in Infants at Risk for Dyslexia across the Sensitive Period of Native Phoneme Learning. International Journal of Environmental Research and Public Health, 19(3), 1180. https://doi.org/10.3390/ijerph19031180",CC0,TRUE,,Human Subjects Division at the University of Washington,Yes
Viraaj,ds004262,n/a,,TRUE,,,No,21,21-41,0.004 TB,194,1,0,healthy,"eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,31,10-20,,,,,,,,,,continuous,Visual,Visual,Feedback processing,Learning,gnomes,,1.2.1,Oxford,United Kingdom,N,N,2022-09-07 12:52:02,Cameron Hassall,,doi:10.18112/openneuro.ds004262.v1.0.0,,CC0,TRUE,,,
Viraaj,ds004264,n/a,,TRUE,,,No,21,21-41,0.004 TB,194,1,0,healthy,".eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,31,10-20,,,,,,,,,,continuous,Visual,Visual,Learning task,Learning,steertheship,,1.2.1,Oxford,United Kingdom,N,N,2022-09-13 14:57:06,Cameron Hassall,,doi:10.18112/openneuro.ds004264.v1.1.0,,CC0,TRUE,,,
Viraaj,ds004276,Please use the checkmaxfilter option before processing the dataset. The reason this dataset does not have statistics is because it cannot be processed automatically (the checkmaxfilter option is not used for automated processing). See https://github.com/fieldtrip/fieldtrip/issues/2373 and https://github.com/fieldtrip/fieldtrip/issues/2372,,FALSE,,,No,18,18-30,0.012 TB,135,1,0,"right-handed, healthy",.fif,MEG,behavioral,,X,,,,X,,,,,,,,,,,,,,,other,157,,,,,,,1,35,continuous,Audio,Auditory,Auditory Perception,Perception,"words, noise",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10205071/,1.6.0,Maryland,United States,N,N,2022-10-07 15:21:12,Christian Brodbeck,,doi:10.18112/openneuro.ds004276.v1.0.0,,CC0,FALSE,NSF BCS-1749407,"The procedure was approved by the Institutional Review Board at the University of Maryland, College Park, and all participants provided written informed consent",
Viraaj,ds002908,n/a,,FALSE,,,No,13,47–71,59.8 GB,536,6,0,Parkinson's patient implanted with electrodes,".acq, .cfg, .cls, .hc, .hist, .infods, .meg4, .mrk, .newds, .res4, .ds",MEG,n/a,,X,,,,,,,,,,,,,,,,,,,other,270,,,,,29,,,,continuous,Visual,Visual,Decision,Decision-making,mouse,,1.0.1,Oxford,UK,Y,N,2020-09-07 8:38:13,Eva Zita Patai,,10.18112/openneuro.ds002908.v1.0.0,,CC0,TRUE,MC_UU_12024/5 ===NEMAR-SEP=== MC_UU_00003/1 ===NEMAR-SEP=== BB/S006338/1 ===NEMAR-SEP=== 203147/Z/16/Z ===NEMAR-SEP=== MR/K005464/1,University College London Ethics Committee approval for minimum risk magnetoencephalography studies of healthy human cognition,Yes
Viraaj,ds004279,n/a,,FALSE,,,No,56,19-29,0.027 TB,305,4,0,Healthy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,1,,1,2,,,1,,continuous,Audio,Auditory,Auditory perception,Perception,sentences,,1.6.0,Santiago,Chile,N,N,2023-08-02 22:50:05,CARLOS VALLE ARAYA,,doi:10.18112/openneuro.ds004279.v1.1.1,,CC0,FALSE,Doctoral scholarship N 21211883 (2021)383 by Agencia Nacional de Investigacion y Desarrollo (ANID Chile),,
Viraaj,ds004284,n/a,,FALSE,,,No,18,18-41,0.018 TB,167,1,0,Healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,129,other,,,,,,,,,,continuous,Visual,Visual,Decision,Decision-making,kickstarter,,1.6.0,Illinois,United States,N,N,2023-06-13 21:09:06,John Veillette,,doi:10.18112/openneuro.ds004284.v1.0.0,https://github.com/john-veillette/eeg-neuroforecasting,CC0,FALSE,,,
Viraaj,ds004295,n/a,,TRUE,,,No,26,19-33,0.034 TB,158,1,0,"Right-handed, healthy",".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,66,10-20,,,,,,,,,,continuous,"Visual, Audio",Multisensory,Reinforcement learning,Learning,task,,1.1.1,Marburg,Germany,Y,Y,2022-10-15 16:44:29,Christopher Stolz,,doi:10.18112/openneuro.ds004295.v1.0.0,,CC0,FALSE,,,
Viraaj,ds004306,,EEG data files are in EEGLAB format but the corresponding .fdt files are in the derivative/fdt_files folder. The files need to be moved and renamed to be imported.,FALSE,,,No,12,,0.64 GB,514,3,1,healthy,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,124,other,,,,,4,,,,,continuous,"Visual, Audio",Multisensory,Imagined Visual Perception,Perception,experiment,,1.7.0,Bath,UK,Y,N,2023-01-24 22:01:03,Holly Wilson,,doi:10.18112/openneuro.ds004306.v1.0.2,,CC0,FALSE,EPSRC,PREC,
Viraaj,ds004315,n/a,,TRUE,,,No,50,19-55,0.011 TB,463,1,1,Healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,60,10-20,,,,,,,,,66,continuous,Video (Visual/Audio),Multisensory,Emotion,Affect,PST,,1.1.1,New Mexico,United States,N,N,2022-10-27 5:10:59,Trevor Clinton James Jackson,,doi:10.18112/openneuro.ds004315.v1.0.0,DOI:,CC0,FALSE,,,
Viraaj,ds004317,n/a,,TRUE,,,No,50,18-53,0.02 TB,425,1,1,Healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,60,10-20,,,,,,,,,66,continuous,Video (Visual/Audio),Multisensory,"Emotion, Reinforcement Learning",Affect,PST,,1.1.1,New Mexico,United States,N,N,2022-10-27 16:57:51,Trevor Clinton James Jackson,,doi:10.18112/openneuro.ds004317.v1.0.3,DOI:,CC0,FALSE,,,
Viraaj,ds004324,n/a,,TRUE,,,No,26,22-32,0.003 TB,161,1,1,healthy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,28,10-20,,1,,,4,,,,5,continuous,Visual,Multisensory,Emotion,Affect,RSVP,,1.6.0,Graz,Austria,Y,N,2023-09-14 7:37:42,Alberto Barradas,,doi:10.18112/openneuro.ds004324.v1.0.0,,CC0,FALSE,,,
Viraaj,ds004330,n/a,,FALSE,,,No,30,"mean age = 28.91 years, SD = 4.02 years",0.165 TB,1145,1,9,healthy,.fif,MEG,n/a,,X,,,,,,,,,,,,,,,,,,,other,306,,,,,,,3,1,continuous,Visual,Visual,Visual perception,Perception,main,,1.7.0,Leipzig,Germany,Y,N,2022-11-08 11:21:52,Johannes Janek Daniel Singer,,doi:10.18112/openneuro.ds004330.v1.0.0,https://biorxiv.org/cgi/content/short/2022.08.12.503484v1,CC0,FALSE,ERC-StG-2021-101039712 ===NEMAR-SEP=== CI241/1-1 ===NEMAR-SEP=== CI241/3-1 ===NEMAR-SEP=== CI241/7-1 ===NEMAR-SEP=== ERC-StG-2018-803370,"The study was approved by the local ethics committee of the University Medical Center Leipzig (012/20-ek) in accordance with the declaration of Helsinki, and participants were reimbursed for their participation.",
Viraaj,ds004346,n/a,,TRUE,,,No,1,44,3.6 GB,19,1,5,Healthy,.fif,"MEG, MRI",n/a,,X,,X,,,,,,,,,,,,,,,,,other,306,,,,,,,18,3,continuous,Visual,Visual,Attention,Attention,SpAtt,,1.7.0,Birmingham,UK,Y,Y,2022-11-30 17:54:29,Tara Ghafari,,doi:10.18112/openneuro.ds004346.v1.0.8,,CC0,FALSE,,,
Viraaj,ds004347,n/a,,TRUE,,,No,24,18-41,0.003 TB,173,1,0,healthy,.bdf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,8,,,,,continuous,Visual,Visual,Visual perception,Perception,jacobsen,,1.1.1,Liverpool,UK,Y,Y,2022-11-28 17:08:56,John Tyson-Carr,,doi:10.18112/openneuro.ds004347.v1.0.0,10.1016/j.neuropsychologia.2012.10.003,CC0,FALSE,sponsored by the Leverhulme Trust research grant awarded to Bertamini and Pecchinenda (2010).,The study had approval from the local ethics committee,
Viraaj,ds004348,n/a,,FALSE,,,No,9,26-44,8.2 GB,113,1,0,healthy,".fdt, .set",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,34,other,,,,,,,,,,continuous,Sleep,Sleep,Sleep assessment,Neuroimaging,Sleep,,1.7.0,Aarhus,Denmark,N,N,2022-12-01 8:29:38,kaare mikkelsen,,doi:10.18112/openneuro.ds004348.v1.0.4,,CC0,FALSE,,,
Viraaj,ds004350,n/a,,TRUE,,,Yes,24,22-28,0.023 TB,960,2,6,"healthy, right-handed",.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,other,,,,,,,,,,continuous,visual,Visual,executive function,Memory ,"LG, NB, SART",https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2020.00246/full,1.8.0,California,United States,Y,N,2022-12-06 3:04:16,Liana Pakingan,,doi:10.18112/openneuro.ds004350.v1.1.1,https://doi.org/10.3389/fnhum.2020.00246,CC0,FALSE,"This work was supported by the Grants from the ANR (Agence Nationale pour la Recherche) ANR-12-JSH2-0009, the BIAL foundation BIAL-08-162, and by a T32 award (T32 AT00399) at the UCSF Osher Center for Integrative Medicine from the National Center for Complementary and Integrative Health (NCCIH) of the National Institutes of Health","The protocol was approved by the Comite de Protection des Personnes (CPP) de Toulouse II Sud-ouest (protocol 10009 4/12/2015). The studies involving human participants were reviewed and approved by the Comités de Protection des Personnes, CPP, CNRS Toulouse. The patients/participants provided their written informed consent to participate in this study.",
Viraaj,ds004356,n/a,,FALSE,,,No,22,19-37,213.1 GB,639,1,2,healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,34,10-20,,,,,,,,,,continuous,audio,Auditory,Auditory perception,Perception,MusicvsSpeech,,1.7.0,New York,United States,N,N,2022-12-12 17:34:53,Tong Shan (TeenagingCu),,doi:10.18112/openneuro.ds004356.v2.2.1,"Shan, T., Cappelloni, M.S. & Maddox, R.K. Subcortical responses to music and speech are alike while cortical responses diverge. Sci Rep 14, 789 (2024). https://doi.org/10.1038/s41598-023-50438-0",CC0,FALSE,the Schmitt Program in Neuroscience,approved by the University of Rochester Subjects Review Board (#66988),
Viraaj,ds004357,n/a,,TRUE,,,No,16,18-27,0.021 TB,71,1,0,healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,10-20,,,,,,,,,,continuous,Visual,Visual,Visual perception,Perception,rsvp,,1.0.2,Syndey,Australia,Y,N,2023-04-26 6:43:02,Tijl Grootswagers,,doi:10.18112/openneuro.ds004357.v1.0.0,,CC0,FALSE,,,
Viraaj,ds004362,n/a,,FALSE,,,Yes,109,19-67,0.008 TB,9162,1,14,healthy  ,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,,continuous,Visual,Visual,Motor imagery,Motor,motion,,1.8.0,New York,United States,Y,Y,2022-12-15 16:24:41,Liana Pakingan,,doi:10.18112/openneuro.ds004362.v1.0.0,"Schalk, G., McFarland, D.J., Hinterberger, T., Birbaumer, N., Wolpaw, J.R. BCI2000: A General-Purpose Brain-Computer Interface (BCI) System. IEEE Transactions on Biomedical Engineering 51(6):1034-1043, 2004.",CC0,FALSE,This work was supported by grants from NIH/NIBIB ((EB006356 (GS) and EB00856 (JRW and GS)),,
Viraaj,ds004367,n/a,,TRUE,,,No,40,19-62,0.03 TB,206,1,0,"healthy, schizophrenia",".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,68,10-20,,,,,,,,,,continuous,Visual,Visual,Visual discrimination,Perception,rdk,,1.1.1,Grenoble,France,Y,N,2022-12-15 12:45:27,Martin Rouy,,doi:10.18112/openneuro.ds004367.v1.0.2,,CC0,FALSE,,,
Viraaj,ds004369,n/a,,TRUE,,,No,41,18-33,0.002 TB,345,1,0,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,4,other,,,,,3,,,,7,continuous,Audio,Auditory,Eye blink analysis,Perception,attendedSpeakerParadigm,,v5.2,Oldenburg,Germany,N,N,2023-02-06 14:16:24,Björn Holtze,,doi:10.18112/openneuro.ds004369.v1.0.1,tba,CC0,FALSE,,,
Viraaj,ds004381,n/a,,TRUE,,,No,14,29-87,0.005 TB,1069,4,8,neurosurgery patients,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,4,10-20,,,,,,,,,,continuous,electrical stimulation,Stimulation,Stimulation optimization,Clinical/Intervention,sepRate,,1.4.0,Zurich,Switzerland,N,N,2023-04-02 15:14:21,Vasileios S. Dimakopoulos,,doi:10.18112/openneuro.ds004381.v1.0.1,https://hfozuri.ch/,CC0,FALSE,"Swiss National Science Foundation, SNSF 204651 ===NEMAR-SEP=== Alexander S. Onassis Public Benefit Foundation Scholarship",2019-01977,
Viraaj,ds004395,"This dataset is too large for NEMAR data quality metrics. Three different tasks, split them up bc three different experiment",,FALSE,,,No,364,,9.6 TB,62638,24,0,healthy,".bdf, .edf",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,125,10-20,,,,,4,,,,,continuous,words (visual),Visual,memory/free recall,Memory,"ltpFR, ltpFR2, VFFR",https://osf.io/preprints/psyarxiv/bu5x8,1.6.0,Pennsylvania,United States,N,N,2023-06-01 3:00:26,Joseph Rudoler,,doi:10.18112/openneuro.ds004395.v2.0.0,,CC0,FALSE,,,
Viraaj,ds004408,n/a,,TRUE,,,No,19,,0.02 TB,1946,1,20,healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,128,other,,,,,,,,,,continuous,audio,Auditory,Speech processing,Other,listening,,1.7.0,Dublin,Ireland,N,N,2023-01-20 15:17:31,Ole Bialas,,doi:10.18112/openneuro.ds004408.v1.0.8,,CC0,FALSE,This study was supported by a grant from Science Foundation Ireland (09-RFP-NES2382) and by an Irish Research Council Government of Ireland Postgraduate Scholarship.,All experimental procedures were approved by the Ethics Committee of the School of Psychology at Trinity College Dublin.,
Viraaj,ds004444,n/a,,FALSE,,,No,30,18-27,0.052 TB,2332,16,0,healthy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,129,other,,,,,,,,,,continuous,visual instruction,Visual,Motor imagery,Motor,smrbmi,,1.7.0,Kanagawa,Japan,N,N,2023-01-25 12:35:02,Seitaro Iwama,,doi:10.18112/openneuro.ds004444.v1.0.1,,CC0,FALSE, JST Moonshot R&D (grant number JPMJMS2012 to J.U).,"All experiments to collect the datasets were performed in accordance with the Declaration of Helsinki and the experimental procedures were approved by the Ethics Committee of the Faculty of Science and Technology, Keio University (IRB approval number: 2020–38 or 2021–74). Written informed consent to participate in the present study was obtained from every participant.",
Viraaj,ds004446,n/a,,FALSE,,,No,30,18-27,0.031 TB,1192,8,0,healthy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,129,other,,,,,,,,,,continuous,visual instruction,Visual,Motor imagery,Motor,smrbmi,,1.7.0,Kanagawa,Japan,N,N,2023-01-25 16:30:22,Seitaro Iwama,,doi:10.18112/openneuro.ds004446.v1.0.1,,CC0,FALSE,JST Moonshot R&D JPMJMS2012,"All experiments to collect the datasets were performed in accordance with the Declaration of Helsinki and the experimental procedures were approved by the Ethics Committee of the Faculty of Science and Technology, Keio University (IRB approval number: 2020–38 or 2021–74). Written informed consent to participate in the present study was obtained from every participant.",
Viraaj,ds004447,n/a,,FALSE,,,No,22,18-27,0.022 TB,2094,20,0,healthy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,129,other,,,,,,,,,,continuous,visual instruction,Visual,Motor imagery,Motor,smrbmi,,1.7.0,Kanagawa,Japan,N,N,2023-01-26 5:19:08,Seitaro Iwama,,doi:10.18112/openneuro.ds004447.v1.0.1,,CC0,FALSE,JST Moonshot R&D JPMJMS2012,"All experiments to collect the datasets were performed in accordance with the Declaration of Helsinki and the experimental procedures were approved by the Ethics Committee of the Faculty of Science and Technology, Keio University (IRB approval number: 2020–38 or 2021–74). Written informed consent to participate in the present study was obtained from every participant.",
